Media Market,Market State,dma,Total Airings 9Apr20 to 25Oct20,Est. Cost 9Apr20 to 25Oct29,Pro-Biden Airings 9Apr20 to 25Oct20,Pro-Trump Airings 9Apr20 to 25Oct20,Biden Ad Adv 9Apr20 to 25Oct20,Total Airings 12Oct20 to 25Oct20,Est. Cost 12Oct20 to 25Oct20,Pro-Biden Airings 12Oct20 to 25Oct20,Pro-Trump Airings 12Oct20 to 25Oct20,Biden Ad Adv 12Oct20 to 25Oct20
ABILENE-SWEETWATER,TX,662,38," $5,020 ",13,25,-12,15," $2,890 ",13,2,11
"ALBANY, GA",GA,525,"6,325"," $803,140 ",719,"5,606","-4,887","1,691"," $269,520 ",620,"1,071",-451
"ALBANY, NY",NY,532,94," $4,000 ",85,9,76,94," $4,000 ",85,9,76
ALBUQUERQUE,NM,790,"1,109"," $205,980 ",74,"1,035",-961,92," $12,150 ",72,20,52
ALEXANDRIA,LA,644,12, $380 ,10,2,8,12, $380 ,10,2,8
ALPENA,MI,583,"1,641"," $231,380 ","1,539",102,"1,437",238," $50,770 ",238,0,238
AMARILLO,TX,634,17," $1,150 ",15,2,13,17," $1,150 ",15,2,13
ANCHORAGE,AK,743,73," $16,220 ",66,7,59,38," $2,020 ",31,7,24
ATLANTA,GA,524,"16,377"," $19,453,750 ","2,315","14,062","-11,747","3,242"," $5,360,500 ","1,711","1,531",180
AUGUSTA,GA,520,"6,254"," $747,290 ",812,"5,442","-4,630","1,062"," $196,130 ",736,326,410
AUSTIN,TX,635,105," $50,030 ",31,74,-43,34," $42,670 ",31,3,28
BAKERSFIELD,CA,800,137," $7,780 ",78,59,19,84," $3,900 ",74,10,64
BALTIMORE,MD,512,57," $7,570 ",55,2,53,57," $7,570 ",55,2,53
BANGOR,ME,537,"1,958"," $1,061,860 ",831,"1,127",-296,812," $488,430 ",453,359,94
BATON ROUGE,LA,716,26," $2,020 ",24,2,22,25," $1,680 ",23,2,21
BEAUMONT,TX,692,33," $1,900 ",31,2,29,33," $1,900 ",31,2,29
BEND,OR,821,10, $360 ,5,5,0,10, $360 ,5,5,0
BILLINGS,MT,756,34," $1,820 ",28,6,22,33," $1,780 ",27,6,21
BILOXI,MS,746,18," $2,090 ",16,2,14,18," $2,090 ",16,2,14
BINGHAMTON,NY,502,18, $530 ,15,3,12,18, $530 ,15,3,12
BIRMINGHAM,AL,630,293," $46,200 ",42,251,-209,44," $2,970 ",42,2,40
BISMARCK-MINOT,SD,687,81," $9,680 ",11,70,-59,13, $710 ,11,2,9
BLUEFIELD-BECKLEY,WV,559,4, $210 ,4,0,4,4, $210 ,4,0,4
BOISE,ID,757,97," $12,690 ",18,79,-61,30," $2,430 ",17,13,4
BOSTON,MA,506,354," $799,490 ",344,10,334,214," $400,390 ",205,9,196
BOWLING GREEN,KY,736,12, $480 ,12,0,12,12, $480 ,12,0,12
BUFFALO,NY,514,168," $17,300 ",48,120,-72,48," $2,070 ",46,2,44
BURLINGTON,VT,523,71," $23,890 ",20,51,-31,22," $21,610 ",19,3,16
BUTTE,MT,754,40," $1,950 ",32,8,24,39," $1,420 ",32,7,25
CASPER,WY,767,135," $4,200 ",35,100,-65,48," $1,640 ",35,13,22
